pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
PW405,14725R,147251,5,1
PW406,14725T,147252,5,1
PW407,14725R,147252,5,1
PW408,14725T,147253,2,1
PW409,14725R,147253,2,1
PW41,14701R,147014,2,1
PW410,14725T,147253,4,0
PW411,14725R,147253,4,0
PW412,14725T,147254,2,1
PW413,14725R,147254,2,1
PW414,14724T,147241,2,1
PW415,14724R,147241,2,1
PW416,14724T,147241,4,0
PW417,14724R,147241,4,0
PW418,14724T,147241,5,1
PW419,14724R,147241,5,1
PW42,14723T,147231,2,1
PW420,14724T,147242,5,1
PW421,14724R,147242,5,1
PW422,14724T,147243,2,1
PW423,14724R,147243,2,1
PW424,14702T,147021,2,1
PW425,14702R,147021,2,1
PW426,14702T,147022,2,1
PW427,14702R,147022,2,1
PW428,14702T,147022,4,0
PW429,14702R,147022,4,0
PW43,14723R,147231,2,1
PW430,14722T,147221,2,1
PW431,14722R,147221,2,1
PW432,14722T,147222,2,1
PW433,14722R,147222,2,1
PW434,14722T,147222,5,1
PW435,14722R,147222,5,1
PW436,14722T,147223,2,1
PW437,14722R,147223,2,1
PW438,14722T,147223,4,0
PW439,14722R,147223,4,0
PW44,14723T,147231,5,1
PW440,14721T,147211,2,1
PW441,14721R,147211,2,1
PW442,14721T,147211,5,1
PW443,14721R,147211,5,1
PW444,14721T,147212,2,1
PW445,14721R,147212,2,1
PW446,14721T,147213,4,0
PW447,14721R,147213,4,0
PW448,14720T,147201,2,1
PW449,14720R,147201,2,1
PW45,14723R,147231,5,1
PW450,14720T,147202,2,1
PW451,14720R,147202,2,1
PW452,14720T,147203,2,1
PW453,14720R,147203,2,1
PW454,14720T,147203,5,1
PW455,14720R,147203,5,1
PW456,14742T,147421,2,1
PW457,14742R,147421,2,1
PW458,14742T,147421,4,0
PW459,14742R,147421,4,0
PW46,14703T,147031,2,1
PW460,14742T,147422,2,1
PW461,14742R,147422,2,1
PW462,14742T,147422,4,0
PW463,14742R,147422,4,0
PW464,14742T,147422,5,1
PW465,14742R,147422,5,1
PW466,14742T,147423,2,1
PW467,14742R,147423,2,1
PW468,14742T,147423,4,0
PW469,14742R,147423,4,0
PW47,14703R,147031,2,1
PW470,14743T,147431,2,1
PW471,14743R,147431,2,1
PW472,14743T,147431,4,0
PW473,14743R,147431,4,0
PW474,14743T,147432,2,1
PW475,14743R,147432,2,1
PW476,14743T,147432,4,0
PW477,14743R,147432,4,0
PW478,14743T,147432,5,1
PW479,14743R,147432,5,1
PW48,14703T,147032,2,1
PW480,14743T,147433,2,1
PW481,14743R,147433,2,1
PW482,14743T,147433,4,0
PW483,14743R,147433,4,0
PW484,14743T,147434,2,1
PW485,14743R,147434,2,1
PW486,14743T,147434,4,0
PW487,14743R,147434,4,0
PW488,14743T,147434,5,1
PW489,14743R,147434,5,1
PW49,14703R,147032,2,1
PW490,14743T,147435,5,1
PW491,14743R,147435,5,1
PW492,14744T,147441,2,1
PW493,14744R,147441,2,1
PW494,14744T,147441,4,0
PW495,14744R,147441,4,0
PW496,14744T,147441,5,1
PW497,14744R,147441,5,1
PW498,14744T,147442,5,1
PW499,14744R,147442,5,1
PW5,14698R,146981,2,1
PW50,14703T,147032,4,0
PW500,14744T,147443,2,1
PW501,14744R,147443,2,1
PW502,14744T,147443,4,0
PW503,14744R,147443,4,0
PW504,14744T,147444,2,1
PW505,14744R,147444,2,1
PW506,14745T,147451,2,1
PW507,14745R,147451,2,1
PW508,14745T,147451,4,0
PW509,14745R,147451,4,0
PW51,14703R,147032,4,0
PW510,14745T,147451,5,1
PW511,14745R,147451,5,1
PW512,14745T,147452,2,1
PW513,14745R,147452,2,1
PW514,14745T,147452,4,0
PW515,14745R,147452,4,0
PW516,14745T,147453,2,1
PW517,14745R,147453,2,1
PW518,14745T,147453,4,0
PW519,14745R,147453,4,0
PW52,14703T,147033,2,1
PW520,14746T,147461,2,1
PW521,14746R,147461,2,1
PW522,14746T,147461,4,0
PW523,14746R,147461,4,0
PW524,14746T,147461,5,1
PW525,14746R,147461,5,1
PW526,14746T,147462,5,1
PW527,14746R,147462,5,1
PW528,14746T,147463,2,1
PW529,14746R,147463,2,1
PW53,14703R,147033,2,1
PW530,14746T,147463,4,0
PW531,14746R,147463,4,0
PW532,14747T,147471,2,1
PW533,14747R,147471,2,1
PW534,14747T,147471,4,1
PW535,14747R,147471,4,1
PW536,14747T,147472,2,1
PW537,14747R,147472,2,1
PW538,14747T,147472,5,1
PW539,14747R,147472,5,1
PW54,14703T,147033,4,0
PW540,57443T,574431,2,1
PW541,57443R,574431,2,1
PW542,57443T,574431,4,1
PW543,57443R,574431,4,1
PW544,57443T,574431,5,1
PW545,57443R,574431,5,1
PW546,57443T,574432,2,1
PW547,57443R,574432,2,1
PW548,57443T,574432,4,1
PW549,57443R,574432,4,1
PW55,14703R,147033,4,0
PW550,57443T,574432,5,1
PW551,57443R,574432,5,1
PW552,57443T,574433,2,1
PW553,57443R,574433,2,1
PW554,57443T,574433,4,0
PW555,57443R,574433,4,0
PW556,57443T,574434,2,1
PW557,57443R,574434,2,1
PW558,57443T,574434,4,0
PW559,57443R,574434,4,0
PW56,14703T,147033,5,1
PW560,57442T,574421,2,1
PW561,57442R,574421,2,1
PW562,57442T,574421,4,1
PW563,57442R,574421,4,1
PW564,57442T,574421,5,1
PW565,57442R,574421,5,1
PW566,57442T,574422,2,1
PW567,57442R,574422,2,1
PW568,57442T,574422,4,1
PW569,57442R,574422,4,1
PW57,14703R,147033,5,1
